dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,11,1,-8.5,14.44,q2,"(50, 150)",0.0007517061290716341,0.06302114200939521,1.5811168148301634e-19,0.06354163137995304
oscillations,0.25,11,1,-8.5,14.44,q3,"(150, 50)",-0.00012692242188665524,0.06327706344013094,1.5811168148301634e-19,0.06354163137995304
oscillations,0.25,11,1,-8.5,14.44,q4,"(150, 150)",4.319007886120377e-05,0.0636990578632506,1.5811168148301634e-19,0.06354163137995304
oscillations,0.25,12,1,-8.5,14.44,q1,"(50, 50)",-0.001959747578869497,0.06199017826802346,2.0917784336012413e-19,0.06431669980294982
oscillations,0.25,12,1,-8.5,14.44,q2,"(50, 150)",0.0006115705335100565,0.06414102476273847,2.0917784336012413e-19,0.06431669980294982
oscillations,0.25,12,1,-8.5,14.44,q3,"(150, 50)",-0.0005088418167315962,0.06572297013424407,2.0917784336012413e-19,0.06431669980294982
oscillations,0.25,12,1,-8.5,14.44,q4,"(150, 150)",0.00017024843666195563,0.06414195209683082,2.0917784336012413e-19,0.06431669980294982
oscillations,0.25,13,1,-8.5,14.44,q1,"(50, 50)",0.001069661846875582,0.06201453849763862,5.1123799693891164e-20,0.06381389134910603
oscillations,0.25,13,1,-8.5,14.44,q2,"(50, 150)",-0.00034392397256490084,0.06338920442044989,5.1123799693891164e-20,0.06381389134910603
oscillations,0.25,13,1,-8.5,14.44,q3,"(150, 50)",-0.0019425953914921532,0.06537605280595449,5.1123799693891164e-20,0.06381389134910603
oscillations,0.25,13,1,-8.5,14.44,q4,"(150, 150)",0.0006223573659969015,0.06361303363726357,5.1123799693891164e-20,0.06381389134910603
oscillations,0.25,14,1,-8.5,14.44,q1,"(50, 50)",0.001707050674744765,0.06225988408277482,-1.439676807637407e-19,0.06342989195885801
oscillations,0.25,14,1,-8.5,14.44,q2,"(50, 150)",-0.0005544524698200119,0.0645312151321946,-1.439676807637407e-19,0.06342989195885801
oscillations,0.25,14,1,-8.5,14.44,q3,"(150, 50)",0.00019995287179279297,0.06182185958859968,-1.439676807637407e-19,0.06342989195885801
oscillations,0.25,14,1,-8.5,14.44,q4,"(150, 150)",-6.785771558073561e-05,0.06371555044459354,-1.439676807637407e-19,0.06342989195885801
oscillations,0.25,15,1,-8.5,14.44,q1,"(50, 50)",0.001955898989351975,0.0639998329223332,6.977268882762421e-21,0.06424657290139597
oscillations,0.25,15,1,-8.5,14.44,q2,"(50, 150)",-0.0006560926989598395,0.06354335406597383,6.977268882762421e-21,0.06424657290139597
oscillations,0.25,15,1,-8.5,14.44,q3,"(150, 50)",-4.902164937099867e-05,0.06570183444836561,6.977268882762421e-21,0.06424657290139597
oscillations,0.25,15,1,-8.5,14.44,q4,"(150, 150)",1.6340549790332987e-05,0.06400798818410337,6.977268882762421e-21,0.06424657290139597
oscillations,0.25,16,1,-8.5,14.44,q1,"(50, 50)",-0.0020706979521610213,0.06210490889486535,5.1140926594961144e-20,0.06403729662715743
