dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all,mean_all_filtered,std_all_filtered
sequences,0.75,2,11,-17.0,8.65,q3,"(50, 150)",0.002131341673052653,0.21346419377371859,0.02073388085466358,0.2190138777927719,0.06941953914677687,0.39650957246480684
sequences,0.75,2,11,-17.0,8.65,q4,"(50, 50)",0.07399219120298467,0.22634491361038597,0.02073388085466358,0.2190138777927719,0.06941953914677687,0.39650957246480684
sequences,0.75,3,11,-17.0,8.65,q1,"(150, 150)",0.01763069584774334,0.20017066007714074,0.021751196091019283,0.19016102685407776,0.07287443199939453,0.34267721355037073
sequences,0.75,3,11,-17.0,8.65,q2,"(150, 50)",0.03474599773517784,0.1569351542763462,0.021751196091019283,0.19016102685407776,0.07287443199939453,0.34267721355037073
sequences,0.75,3,11,-17.0,8.65,q3,"(50, 150)",0.014795660487523909,0.19792848860413606,0.021751196091019283,0.19016102685407776,0.07287443199939453,0.34267721355037073
sequences,0.75,3,11,-17.0,8.65,q4,"(50, 50)",0.04071790015851327,0.15933473067643783,0.021751196091019283,0.19016102685407776,0.07287443199939453,0.34267721355037073
sequences,0.75,4,11,-17.0,8.65,q1,"(150, 150)",0.014867923450882265,0.20362559664085736,0.021228381683579628,0.1969106321968602,0.07109899249294023,0.35541115421571323
sequences,0.75,4,11,-17.0,8.65,q2,"(150, 50)",0.04106485678035058,0.17521840865591687,0.021228381683579628,0.1969106321968602,0.07109899249294023,0.35541115421571323
sequences,0.75,4,11,-17.0,8.65,q3,"(50, 150)",0.01182985874358177,0.19893028387342365,0.021228381683579628,0.1969106321968602,0.07109899249294023,0.35541115421571323
sequences,0.75,4,11,-17.0,8.65,q4,"(50, 50)",0.04715864930753662,0.18413072365679622,0.021228381683579628,0.1969106321968602,0.07109899249294023,0.35541115421571323
sequences,0.75,5,11,-17.0,8.65,q1,"(150, 150)",0.013159282227378525,0.2025670636004803,0.02124996051032786,0.19683121700528886,0.07113552769379147,0.35516801499037637
sequences,0.75,5,11,-17.0,8.65,q2,"(150, 50)",0.04619614765806095,0.17727177377166198,0.02124996051032786,0.19683121700528886,0.07113552769379147,0.35516801499037637
sequences,0.75,5,11,-17.0,8.65,q3,"(50, 150)",0.011087844316732933,0.20098697433591423,0.02124996051032786,0.19683121700528886,0.07113552769379147,0.35516801499037637
sequences,0.75,5,11,-17.0,8.65,q4,"(50, 50)",0.04971385219445734,0.17759647022037167,0.02124996051032786,0.19683121700528886,0.07113552769379147,0.35516801499037637
sequences,0.75,6,11,-17.0,8.65,q1,"(150, 150)",0.01104604955544206,0.21146866253101662,0.02106651582039014,0.20978088446365786,0.07052143550218475,0.3792517294100939
sequences,0.75,6,11,-17.0,8.65,q2,"(150, 50)",0.05193738836283092,0.1998840855492798,0.02106651582039014,0.20978088446365786,0.07052143550218475,0.3792517294100939
sequences,0.75,6,11,-17.0,8.65,q3,"(50, 150)",0.0064054324097093515,0.20859638195319774,0.02106651582039014,0.20978088446365786,0.07052143550218475,0.3792517294100939
sequences,0.75,6,11,-17.0,8.65,q4,"(50, 50)",0.06262134480964288,0.2124257378556169,0.02106651582039014,0.20978088446365786,0.07052143550218475,0.3792517294100939
sequences,0.75,7,11,-17.0,8.65,q1,"(150, 150)",0.011046407348426622,0.20180524878179762,0.021068222108493108,0.20121783237994292,0.07058030857116619,0.36351846788377956
sequences,0.75,7,11,-17.0,8.65,q2,"(150, 50)",0.05201092403058374,0.19705144637171432,0.021068222108493108,0.20121783237994292,0.07058030857116619,0.36351846788377956
sequences,0.75,7,11,-17.0,8.65,q3,"(50, 150)",0.006829728506423444,0.1990127926380088,0.021068222108493108,0.20121783237994292,0.07058030857116619,0.36351846788377956
sequences,0.75,7,11,-17.0,8.65,q4,"(50, 50)",0.06115192998902861,0.19998086814388089,0.021068222108493108,0.20121783237994292,0.07058030857116619,0.36351846788377956
sequences,0.75,8,11,-17.0,8.65,q1,"(150, 150)",0.0120086465179665,0.21999385597737414,0.02121925006790146,0.21541354811026373,0.07102677846996304,0.38959744618266134
sequences,0.75,8,11,-17.0,8.65,q2,"(150, 50)",0.04956093110804251,0.20120752042805115,0.02121925006790146,0.21541354811026373,0.07102677846996304,0.38959744618266134
sequences,0.75,8,11,-17.0,8.65,q3,"(50, 150)",0.009216243399020883,0.21608023087393813,0.02121925006790146,0.21541354811026373,0.07102677846996304,0.38959744618266134
